timestamp,timestamp_hour,city,lat,lon,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2026-09-20 09:42:43,2026-09-20 09:00:00,Agadir,30.4278,-9.5981,21.06,21.57,90,1018,3.6,190,77,Clouds,broken clouds,3,137.33,0.07,1.34,71.05,0.34,24.77,78.0,0.0
2026-09-20 09:42:16,2026-09-20 09:00:00,Casablanca,33.5731,-7.5898,23.95,24.44,78,1017,1.54,190,0,Clear,clear sky,2,118.78,0.81,3.66,52.0,1.45,21.97,49.46,0.0
2026-09-20 09:42:36,2026-09-20 09:00:00,Fes,34.0331,-5.0003,25.08,25.13,57,1020,2.57,60,11,Clouds,few clouds,1,77.82,0.51,1.2,32.42,0.11,4.38,12.38,0.34
2026-09-20 09:42:56,2026-09-20 09:00:00,Karia Ba Mohamed,34.3667,-5.2139,26.55,26.55,53,1019,5.34,101,1,Clear,clear sky,1,80.73,0.86,1.97,31.47,0.2,4.02,11.22,0.37
2026-09-20 09:42:30,2026-09-20 09:00:00,Marrakech,31.6295,-7.9811,26.98,27.85,57,1018,1.54,250,31,Clouds,scattered clouds,3,91.99,0.24,1.12,47.18,0.14,23.25,78.48,0.33
2026-09-20 09:42:23,2026-09-20 09:00:00,Rabat,34.0209,-6.8416,27.37,28.31,57,1017,0.0,0,0,Clear,clear sky,2,107.4,1.24,5.01,46.28,1.54,12.19,27.9,0.45
2026-09-20 09:42:50,2026-09-20 09:00:00,Tanger,35.7595,-5.834,26.74,28.08,65,1019,11.83,80,28,Clouds,scattered clouds,2,116.7,0.78,3.21,69.14,1.0,5.27,13.68,0.29
2026-09-20 10:00:28,2026-09-20 10:00:00,Agadir,30.4278,-9.5981,23.06,23.56,82,1018,2.89,192,80,Clouds,broken clouds,3,135.09,0.11,1.15,73.79,0.35,24.69,80.83,0.0
2026-09-20 10:00:07,2026-09-20 10:00:00,Casablanca,33.5731,-7.5898,26.84,27.95,61,1017,1.03,0,0,Clear,clear sky,3,111.18,0.27,1.52,91.02,4.43,20.91,58.62,0.0
2026-09-20 10:00:23,2026-09-20 10:00:00,Fes,34.0331,-5.0003,28.08,28.03,44,1020,3.6,0,6,Clear,clear sky,2,79.03,0.05,0.23,73.06,0.31,6.82,24.63,0.02
2026-09-20 10:00:39,2026-09-20 10:00:00,Karia Ba Mohamed,34.3667,-5.2139,28.95,28.74,42,1019,5.48,102,1,Clear,clear sky,2,80.69,0.07,0.31,74.77,0.32,6.7,24.39,0.03
2026-09-20 10:00:17,2026-09-20 10:00:00,Marrakech,31.6295,-7.9811,29.98,31.18,51,1018,1.54,0,57,Clouds,broken clouds,4,90.44,0.04,0.18,57.61,0.04,23.56,104.06,0.09
2026-09-20 10:00:12,2026-09-20 10:00:00,Rabat,34.0209,-6.8416,29.25,29.74,48,1017,0.0,0,0,Clear,clear sky,2,102.15,0.33,1.89,86.42,4.14,13.96,40.3,0.01
2026-09-20 10:00:34,2026-09-20 10:00:00,Tanger,35.7595,-5.834,26.74,28.08,65,1019,14.92,80,23,Clouds,few clouds,2,114.47,0.4,1.91,80.78,1.47,5.28,14.44,0.19
2026-09-20 13:30:57,2026-09-20 13:00:00,Agadir,30.4278,-9.5981,30.06,33.57,63,1017,2.47,280,73,Clouds,broken clouds,3,122.95,0.06,0.92,83.43,0.27,18.5,63.86,0.0
2026-09-20 13:30:36,2026-09-20 13:00:00,Casablanca,33.5731,-7.5898,32.01,31.48,35,1017,2.06,360,73,Clouds,broken clouds,3,91.21,0.05,0.35,91.52,2.35,16.64,65.12,0.0
2026-09-20 13:30:52,2026-09-20 13:00:00,Fes,34.0331,-5.0003,33.08,31.96,29,1018,4.12,60,24,Clouds,few clouds,2,78.52,0.03,0.14,73.69,0.34,10.68,42.74,0.0
2026-09-20 13:31:08,2026-09-20 13:00:00,Karia Ba Mohamed,34.3667,-5.2139,34.4,32.61,22,1017,2.83,107,15,Clouds,few clouds,2,81.0,0.03,0.19,75.92,0.54,11.51,46.28,0.0
2026-09-20 13:30:47,2026-09-20 13:00:00,Marrakech,31.6295,-7.9811,35.98,35.66,28,1017,3.6,310,40,Clouds,scattered clouds,3,88.67,0.03,0.11,63.52,0.02,21.69,95.56,0.03
2026-09-20 13:30:42,2026-09-20 13:00:00,Rabat,34.0209,-6.8416,30.37,31.78,51,1017,3.09,320,0,Clear,clear sky,3,89.9,0.08,0.5,92.62,2.28,13.96,52.59,0.0
2026-09-20 13:31:02,2026-09-20 13:00:00,Tanger,35.7595,-5.834,28.74,30.32,58,1020,13.38,80,27,Clouds,scattered clouds,3,116.42,0.15,0.9,105.41,2.61,8.86,18.41,0.01
2026-09-20 17:21:26,2026-09-20 17:00:00,Agadir,30.4278,-9.5981,28.06,29.1,56,1015,2.74,313,17,Clouds,few clouds,3,126.68,0.08,1.45,87.33,0.31,16.01,51.16,0.11
2026-09-20 17:21:04,2026-09-20 17:00:00,Casablanca,33.5731,-7.5898,26.01,26.01,78,1018,2.57,20,67,Clouds,broken clouds,3,90.97,0.06,0.79,92.13,3.26,18.0,72.6,0.0
2026-09-20 17:21:20,2026-09-20 17:00:00,Fes,34.0331,-5.0003,34.08,32.49,24,1019,3.09,60,12,Clouds,few clouds,2,79.29,0.03,0.34,73.97,0.64,11.52,44.66,0.01
2026-09-20 17:21:36,2026-09-20 17:00:00,Karia Ba Mohamed,34.3667,-5.2139,32.75,31.21,26,1017,1.99,45,30,Clouds,scattered clouds,2,82.69,0.04,0.5,79.89,1.26,12.73,47.07,0.0
2026-09-20 17:21:15,2026-09-20 17:00:00,Marrakech,31.6295,-7.9811,35.98,35.22,26,1017,3.6,290,54,Clouds,broken clouds,3,88.68,0.04,0.31,65.77,0.06,19.95,85.52,0.06
2026-09-20 17:21:10,2026-09-20 17:00:00,Rabat,34.0209,-6.8416,28.37,29.3,54,1017,1.54,320,1,Clear,clear sky,3,99.86,0.18,2.13,104.49,4.49,13.5,38.58,0.0
2026-09-20 17:21:31,2026-09-20 17:00:00,Tanger,35.7595,-5.834,27.74,28.78,57,1018,13.38,90,28,Clouds,scattered clouds,3,121.63,0.17,1.72,100.83,1.65,8.51,19.24,0.01
